id,author,average_word_length,standard_deviation_of_word_length,vocabulary_richness_measures,K_vocabulary_richness,R_vocabulary_richness,C_vocabulary_richness,H_vocabulary_richness,S_vocabulary_richness,k_vocabulary_richness,LN_vocabulary_richness,entropy,average_word_length,stddev_of_word_length,total_number_of_characters,frequency_of_alpha_characters,frequency_of_uppercase_characters,frequency_of_lowercase_characters,frequency_of_special_characters,frequency_of_digital_characters,frequency_of_whitespace_character,alpha_chars_ratio,uppercase_chars_ratio,lowercase_chars_ratio,special_chars_ratio,digital_chars_ratio,whitespace_chars_ratio,total_number_of_sentences,average_number_of_words_per_sentence,frequency_of_noun,frequency_of_proper_noun,frequency_of_pronoun,frequency_of_ordinal_adjectives,frequency_of_comparative_adjectives,frequency_of_superlative_adjectives,frequency_of_adverbs,frequency_of_comparative_adverbs,frequency_of_superlative_adverbs,frequency_of_modal_auxiliary,frequency_of_base_form_verb,frequency_of_past_verb,frequency_of_present_participle_verb,frequency_of_past_participle_verb,frequency_of_particle,frequency_of_wh_words,frequency_of_conjunction,frequency_of_numerical_word,frequency_of_determiner,frequency_of_existential_there,frequency_of_existential_to,frequency_of_preposition,frequency_of_genitive_marker,frequency_of_quotation,frequency_of_comma,frequency_of_terminator,total_number_of_words,total_number_of_distinct_words
1,Charles_Dickens,4.16409,0.00456501,0.43808,113.188,15.7465,0.884791,716.395,0.141343,3.21909,-0.139587,560.734,4.16409,0.00456501,6878,5318,286,5032,271,0,1289,0.77319,0.0415819,0.731608,0.039401,0,0.187409,41,166.902,311,150,89,91,1,3,66,7,0,23,97,23,27,18,1,17,81,2,131,1,17,108,3,0,147,11,1292,566
2,Charles_Dickens,4.28361,0.00790542,0.460761,102.115,16.5297,0.891778,716.007,0.160202,3.24365,-0.139663,568.87,4.28361,0.00790542,7012,5449,336,5113,278,0,1285,0.777096,0.0479179,0.729179,0.0396463,0,0.183257,58,120,312,190,88,74,2,0,51,3,0,9,86,41,33,22,0,13,66,3,141,1,13,111,2,0,146,17,1287,593
3,Charles_Dickens,4.28762,0.00805175,0.442006,98.7363,15.789,0.885838,715.149,0.154255,3.22014,-0.139831,565.86,4.28762,0.00805175,6967,5409,296,5113,286,0,1272,0.776374,0.042486,0.733888,0.0410507,0,0.182575,63,109.841,288,195,101,67,3,1,69,1,0,12,77,49,36,24,1,11,68,2,142,1,10,101,3,0,148,19,1276,564
4,Charles_Dickens,4.27562,0.0480479,0.428571,109.323,15.3809,0.881676,716.085,0.148551,3.20708,-0.139648,559.15,4.27562,0.0480479,7004,5442,320,5122,277,0,1285,0.776985,0.0456882,0.731296,0.0395488,0,0.183467,62,112.226,302,189,96,60,4,3,65,0,0,12,55,72,24,23,1,10,71,4,151,3,13,127,2,0,141,15,1288,552
5,Charles_Dickens,4.30287,0.00842922,0.419055,118.931,15.0569,0.87858,716.317,0.144177,3.19633,-0.139602,557.417,4.30287,0.00842922,7050,5492,280,5212,272,0,1286,0.779007,0.0397163,0.739291,0.0385816,0,0.182411,56,125.232,337,177,78,72,5,4,65,1,1,10,49,58,21,23,1,13,67,8,160,3,12,121,5,0,138,17,1291,541
6,Charles_Dickens,4.28027,0.0198625,0.421173,103.215,15.2613,0.879568,718.007,0.153707,3.20364,-0.139274,562.933,4.28027,0.0198625,7114,5559,310,5249,248,0,1307,0.781417,0.043576,0.737841,0.0348608,0,0.183722,57,123.965,346,176,72,85,5,6,50,4,1,17,61,56,12,24,0,17,67,8,150,4,11,119,5,0,121,20,1313,553
7,Charles_Dickens,4.29618,0.0747036,0.435115,87.6755,15.7485,0.884066,717.778,0.131579,3.21952,-0.139318,568.551,4.29618,0.0747036,7121,5565,315,5250,253,0,1303,0.781491,0.0442354,0.737256,0.0355287,0,0.18298,50,141.54,310,187,86,89,5,4,59,8,1,22,73,30,12,29,0,18,75,8,129,2,11,113,7,0,117,20,1310,570
8,Charles_Dickens,4.22416,0.0489525,0.43465,74.5905,15.7677,0.883992,718.235,0.129371,3.22025,-0.13923,572.331,4.22416,0.0489525,7054,5495,334,5161,248,0,1311,0.778991,0.047349,0.731642,0.0351574,0,0.185852,46,152.37,277,173,114,77,4,5,75,8,0,31,88,36,12,32,0,20,79,3,106,3,18,116,4,0,110,15,1316,572
9,Charles_Dickens,4.53891,0.120307,0.456727,114.47,16.9359,0.891552,722.621,0.106688,3.25757,-0.138385,559.68,4.53891,0.120307,7725,6128,431,5697,205,33,1359,0.793269,0.0557929,0.737476,0.0265372,0.00427184,0.175922,47,163.447,184,359,107,61,3,2,47,1,0,5,34,78,8,46,3,14,46,16,138,0,31,172,15,0,101,1,1375,628
10,Charles_Dickens,4.40634,0.0110347,0.426991,99.5031,15.7235,0.882008,721.229,0.124352,3.21963,-0.138652,554.289,4.40634,0.0110347,7451,5860,175,5685,241,18,1332,0.786472,0.0234868,0.762985,0.0323447,0.00241578,0.178768,57,129.825,216,176,137,67,2,1,67,3,0,11,45,100,14,48,6,21,50,13,139,0,39,172,21,0,116,3,1356,579
11,Charles_Dickens,4.35,0.0908396,0.426471,107.353,15.7275,0.881887,721.524,0.108621,3.21984,-0.138595,552.432,4.35,0.0908396,7398,5803,162,5641,239,14,1342,0.784401,0.0218978,0.762503,0.032306,0.0018924,0.1814,67,109.522,224,172,123,64,3,0,64,2,0,14,50,105,18,40,9,18,57,16,148,1,39,171,14,0,114,4,1360,580
12,Charles_Dickens,4.34516,0.126548,0.406504,106.73,14.9525,0.875152,721.008,0.0872727,3.19412,-0.138694,547.583,4.34516,0.126548,7360,5774,129,5645,252,0,1334,0.784511,0.0175272,0.766984,0.0342391,0,0.18125,69,105.783,220,151,121,66,1,2,77,2,2,16,55,110,20,39,11,19,61,11,141,2,37,160,16,0,113,5,1353,550
13,Charles_Dickens,4.41198,0.0655973,0.423817,125.149,15.5835,0.880925,720.934,0.106457,3.21502,-0.138709,545.361,4.41198,0.0655973,7458,5892,99,5793,221,0,1345,0.790024,0.0132743,0.77675,0.0296326,0,0.180343,57,129.912,236,127,125,73,2,7,71,0,2,21,53,98,15,40,10,15,59,8,157,2,36,180,6,0,114,3,1352,573
14,Charles_Dickens,4.45509,0.0424418,0.457358,115.606,16.6481,0.891185,718.917,0.108911,3.24798,-0.139098,556.738,4.45509,0.0424418,7398,5840,134,5706,234,4,1320,0.789403,0.018113,0.77129,0.0316302,0.000540687,0.178427,56,131.214,248,141,119,82,1,8,65,0,1,18,46,96,16,39,7,18,58,8,148,1,24,168,4,0,121,9,1325,606
15,Charles_Dickens,4.51152,0.068965,0.480799,93.5109,17.3488,0.897889,717.166,0.126198,3.26848,-0.139437,570.313,4.51152,0.068965,7367,5819,188,5631,249,4,1295,0.789874,0.0255192,0.764355,0.0337994,0.000542962,0.175784,48,152.667,268,178,110,86,1,7,62,1,0,15,39,69,31,32,4,14,53,10,138,0,19,156,6,0,140,9,1302,626
16,Charles_Dickens,4.55229,0.0124606,0.483346,82.0073,17.3669,0.898506,716.317,0.158654,3.26882,-0.139603,577.874,4.55229,0.0124606,7361,5802,253,5549,280,4,1275,0.788208,0.0343703,0.753838,0.0380383,0.000543404,0.17321,49,149.653,277,228,95,91,1,5,54,1,0,6,36,69,36,30,2,16,54,14,127,2,14,124,12,0,135,11,1291,624
17,Charles_Dickens,4.51603,0.209265,0.482408,77.6726,17.2524,0.898102,715.383,0.15235,3.26525,-0.139785,578.832,4.51603,0.209265,7259,5701,285,5416,296,0,1262,0.78537,0.0392616,0.746108,0.040777,0,0.173853,46,157.217,302,232,88,91,1,5,60,3,0,4,42,51,33,25,1,11,55,8,123,2,16,110,13,0,139,18,1279,617
18,Charles_Dickens,4.31298,0.0364999,0.472952,79.4536,17.0131,0.895505,716.549,0.147059,3.25842,-0.139557,576.34,4.31298,0.0364999,7068,5499,310,5189,289,0,1280,0.778014,0.0438596,0.734154,0.0408885,0,0.181098,52,135.212,307,208,105,76,2,4,44,2,0,9,66,51,17,34,2,19,59,4,126,2,21,106,11,0,125,22,1294,612
19,Charles_Dickens,4.20804,0.105454,0.454756,64.8623,16.3523,0.890018,716.472,0.158163,3.23828,-0.139572,576.68,4.20804,0.105454,6939,5366,356,5010,286,0,1287,0.77331,0.0513042,0.722006,0.0412163,0,0.185473,56,122.982,293,211,106,72,1,1,57,2,0,16,90,31,13,33,2,19,51,16,113,0,23,106,8,0,120,24,1293,588
20,Charles_Dickens,4.15706,0.059416,0.437026,69.1488,15.8659,0.884775,718.387,0.164931,3.22344,-0.1392,572.235,4.15706,0.059416,6975,5399,403,4996,266,0,1310,0.77405,0.0577778,0.716272,0.0381362,0,0.187814,54,128.204,259,219,135,74,3,2,62,0,1,22,86,41,13,34,2,21,49,17,104,0,20,120,11,0,113,16,1318,576
21,Charles_Dickens,4.17791,0.050458,0.43865,63.3727,15.8401,0.885121,717.319,0.145105,3.22234,-0.139408,575.065,4.17791,0.050458,6941,5353,405,4948,295,0,1293,0.771215,0.0583489,0.712866,0.0425011,0,0.186284,60,114.733,229,236,156,79,3,3,64,0,1,20,73,64,12,32,1,17,47,18,93,0,19,117,13,0,116,19,1304,572
22,Charles_Dickens,4.09308,0.0303165,0.401538,82.6864,14.4777,0.872742,717.012,0.159004,3.17661,-0.139467,558.399,4.09308,0.0303165,6809,5213,397,4816,310,0,1286,0.765604,0.0583052,0.707299,0.045528,0,0.188868,64,105.438,209,224,185,93,3,3,60,0,1,23,58,83,8,33,2,20,54,6,87,1,18,111,14,0,130,21,1300,522
23,Charles_Dickens,4.01236,0.0552337,0.410811,79.6768,14.7835,0.87586,716.627,0.116541,3.18711,-0.139542,558.719,4.01236,0.0552337,6688,5093,348,4745,311,0,1284,0.761513,0.0520335,0.70948,0.0465012,0,0.191986,67,98.8806,214,207,189,94,1,5,61,0,0,25,79,72,3,29,1,22,57,8,86,1,24,99,11,0,130,22,1295,532
24,Charles_Dickens,4.03251,0.0547371,0.424149,75.7699,15.2458,0.880279,716.395,0.109489,3.20268,-0.139587,562.819,4.03251,0.0547371,6705,5102,367,4735,318,0,1285,0.760925,0.0547353,0.706189,0.0474273,0,0.191648,62,107.194,216,200,182,97,2,7,72,0,0,28,90,60,4,19,2,16,61,8,91,1,23,94,7,0,136,20,1292,548
