id,author,average_word_length,standard_deviation_of_word_length,vocabulary_richness_measures,K_vocabulary_richness,R_vocabulary_richness,C_vocabulary_richness,H_vocabulary_richness,S_vocabulary_richness,k_vocabulary_richness,LN_vocabulary_richness,entropy,average_word_length,stddev_of_word_length,total_number_of_characters,frequency_of_alpha_characters,frequency_of_uppercase_characters,frequency_of_lowercase_characters,frequency_of_special_characters,frequency_of_digital_characters,frequency_of_whitespace_character,alpha_chars_ratio,uppercase_chars_ratio,lowercase_chars_ratio,special_chars_ratio,digital_chars_ratio,whitespace_chars_ratio,total_number_of_sentences,average_number_of_words_per_sentence,frequency_of_noun,frequency_of_proper_noun,frequency_of_pronoun,frequency_of_ordinal_adjectives,frequency_of_comparative_adjectives,frequency_of_superlative_adjectives,frequency_of_adverbs,frequency_of_comparative_adverbs,frequency_of_superlative_adverbs,frequency_of_modal_auxiliary,frequency_of_base_form_verb,frequency_of_past_verb,frequency_of_present_participle_verb,frequency_of_past_participle_verb,frequency_of_particle,frequency_of_wh_words,frequency_of_conjunction,frequency_of_numerical_word,frequency_of_determiner,frequency_of_existential_there,frequency_of_existential_to,frequency_of_preposition,frequency_of_genitive_marker,frequency_of_quotation,frequency_of_comma,frequency_of_terminator,total_number_of_words,total_number_of_distinct_words
1,Charles_Dickens,8.44054,0.108355,5.209601,0.351131,8.209084,9.204109,9.880438,6.801091,9.697339,10.121014,9.410625,8.44054,0.108355,8.275779,7.903106,2.660465,7.574891,2.199675,0,9.161336,9.549682,2.025707,9.153086,1.412551,0,9.446399,2.847222,0.394567,7.893401,2.272727,4.278846,1.823647,0.526316,1.578947,4.817518,5.384615,0,3.965517,7.578125,1.869919,5.744681,2.769231,0.555556,2.833333,5.4,0.114943,6.009174,0.769231,2.207792,4.655172,1.111111,0,4.468085,1.864407,9.169624,8.143885
2,Charles_Dickens,8.682806,0.187643,5.479321,0.31678,8.617387,9.276792,9.875087,7.708542,9.771325,10.126524,9.547169,8.682806,0.187643,8.437011,8.097786,3.125581,7.696824,2.256494,0,9.132907,9.597925,2.334373,9.122697,1.421345,0,9.237116,4.027778,0.283688,7.918782,2.878788,4.230769,1.482966,1.052632,0,3.722628,2.307692,0,1.551724,6.71875,3.333333,7.021277,3.384615,0,2.166667,4.4,0.172414,6.46789,0.769231,1.688312,4.784483,0.740741,0,4.43769,2.881356,9.134138,8.532374
3,Charles_Dickens,8.690934,0.191117,5.256288,0.306299,8.23124,9.215001,9.863253,7.422386,9.700502,10.138706,9.496654,8.690934,0.191117,8.382866,8.038342,2.753488,7.696824,2.321429,0,9.040512,9.589008,2.069752,9.181611,1.471694,0,9.20274,4.375,0.259671,7.309645,2.954545,4.855769,1.342685,1.578947,0.526316,5.036496,0.769231,0,2.068966,6.015625,3.98374,7.659574,3.692308,0.555556,1.833333,4.533333,0.114943,6.513761,0.769231,1.298701,4.353448,1.111111,0,4.49848,3.220339,9.056068,8.115108
4,Charles_Dickens,8.66661,1.140468,5.096521,0.339141,8.018486,9.171705,9.876163,7.147923,9.66116,10.125437,9.384042,8.66661,1.140468,8.427385,8.087383,2.976744,7.710372,2.248377,0,9.132907,9.596554,2.22575,9.149183,1.41785,0,9.247702,4.305556,0.26531,7.664975,2.863636,4.615385,1.202405,2.105263,1.578947,4.744526,0,0,2.068966,4.296875,5.853659,5.106383,3.538462,0.555556,1.666667,4.733333,0.229885,6.926606,2.307692,1.688312,5.474138,0.740741,0,4.285714,2.542373,9.141235,7.942446
5,Charles_Dickens,8.721845,0.200076,4.983357,0.368946,7.849576,9.139499,9.879362,6.937457,9.628776,10.122102,9.354957,8.721845,0.200076,8.482734,8.161688,2.604651,7.845853,2.207792,0,9.140014,9.621528,1.934823,9.249207,1.383175,0,9.194474,3.888889,0.296057,8.553299,2.681818,3.75,1.442886,2.631579,2.105263,4.744526,0.769231,1.666667,1.724138,3.828125,4.715447,4.468085,3.538462,0.555556,2.166667,4.466667,0.45977,7.33945,2.307692,1.558442,5.215517,1.851852,0,4.194529,2.881356,9.162527,7.784173
6,Charles_Dickens,8.676035,0.471457,5.008544,0.320192,7.956136,9.149776,9.902671,7.396018,9.650797,10.098319,9.447531,8.676035,0.471457,8.55974,8.261257,2.883721,7.901551,2.012987,0,9.289268,9.651294,2.122852,9.231067,1.249782,0,9.260555,3.958333,0.293061,8.781726,2.666667,3.461538,1.703407,2.631579,3.157895,3.649635,3.076923,1.666667,2.931034,4.765625,4.552846,2.553191,3.692308,0,2.833333,4.466667,0.45977,6.880734,3.076923,1.428571,5.12931,1.851852,0,3.677812,3.389831,9.318666,7.956835
7,Charles_Dickens,8.708285,1.773169,5.174341,0.271986,8.210126,9.196567,9.899512,6.331271,9.698635,10.10151,9.541816,8.708285,1.773169,8.568163,8.270174,2.930233,7.903056,2.053571,0,9.260839,9.652208,2.154976,9.223748,1.273727,0,9.223154,3.472222,0.33461,7.86802,2.833333,4.134615,1.783567,2.631579,2.105263,4.306569,6.153846,1.666667,3.793103,5.703125,2.439024,2.553191,4.461538,0,3,5,0.45977,5.917431,1.538462,1.428571,4.87069,2.592593,0,3.556231,3.389831,9.297374,8.201439
8,Charles_Dickens,8.562301,1.161939,5.168811,0.231394,8.220136,9.195797,9.905815,6.225027,9.700834,10.095129,9.605254,8.562301,1.161939,8.487547,8.166147,3.106977,7.76908,2.012987,0,9.317697,9.62133,2.306658,9.153511,1.260416,0,9.367918,3.194444,0.360213,7.030457,2.621212,5.480769,1.543086,2.105263,2.631579,5.474453,6.153846,0,5.344828,6.875,2.926829,2.553191,4.923077,0,3.333333,5.266667,0.172414,4.862385,2.307692,2.337662,5,1.481481,0,3.343465,2.542373,9.339957,8.230216
9,Charles_Dickens,9.200294,2.855614,5.431349,0.355108,8.829151,9.274441,9.966306,5.133575,9.813258,10.033861,9.392937,9.200294,2.855614,9.29491,9.106851,4.009302,8.575945,1.663961,0.486726,9.658849,9.797678,2.718012,9.2265,0.951376,0.410675,8.867394,3.263889,0.3864,4.670051,5.439394,5.144231,1.222445,1.578947,1.052632,3.430657,0.769231,0,0.862069,2.65625,6.341463,1.702128,7.076923,1.666667,2.333333,3.066667,0.91954,6.330275,0,4.025974,7.413793,5.555556,0,3.069909,0.169492,9.758694,9.035971
10,Charles_Dickens,8.931577,0.26192,5.077731,0.308677,8.197093,9.175159,9.947108,5.983525,9.698966,10.05322,9.302461,8.931577,0.26192,8.965227,8.708575,1.627907,8.55788,1.956169,0.265487,9.466951,9.713728,1.144185,9.545641,1.159578,0.232242,9.010847,3.958333,0.306915,5.482234,2.666667,6.586538,1.342685,1.052632,0.526316,4.890511,2.307692,0,1.896552,3.515625,8.130081,2.978723,7.384615,3.333333,3.5,3.333333,0.747126,6.376147,0,5.064935,7.413793,7.777778,0,3.525836,0.508475,9.623847,8.330935
